"cohort","patient","cell","MES","AC","OPC","NPC","state","bp_x","bp_y"
"10X","124","124_2_920",-0.0496900058972527,-0.573723651357549,-0.0988423322584677,1.30617496378753,"NPC",1.26604726939243,1.35586496968478
"10X","124","124_2_921",1.04649808769378,-0.356303371261409,-0.119184597554871,-0.212314393029549,"MES",1.26471744496619,-1.16568268524865
"10X","124","124_2_922",0.805902515737578,1.2621171569168,0.258130899658492,0.0126776832130141,"AC",-0.542223019645233,-1.00398625725831
"10X","124","124_2_923",-0.0399946428251621,-0.446773996462744,-0.274506192590148,1.60366149463415,"NPC",1.52515064853387,1.64365613745931
"10X","124","124_2_924",-0.347225529910349,0.507463727396596,0.6631525666583,0.847373847328589,"NPC",0.243938684596561,0.339910119931993
"10X","124","124_2_925",-0.0443514890320899,-0.594409633911517,-0.147388824481275,1.35193553455902,"NPC",1.32153814464692,1.39628702359111
"10X","124","124_2_926",0.387385644871083,-0.0712069985466977,0.109810289369471,0.152665115691662,"MES",0.54457702281798,-0.234720529179421
"10X","124","124_2_927",0.549581699412448,-0.276644495518625,-0.281803992796672,-0.164215780821093,"MES",0.868865467455208,-0.713797480233541
"10X","124","124_2_928",0.455226078674306,-0.564802245975043,-0.277034121787357,-0.417184407993618,"MES",1.01437552245462,-0.732260200461664
"10X","124","124_2_929",-0.0989067647299435,-0.489255873044985,0.0409504892693806,0.836201404481541,"NPC",0.844185497994753,0.935108169211484
"10X","124","124_2_930",0.792903123063408,-0.51214764278959,-0.317855012226377,-0.261406447806095,"MES",1.2047985245539,-1.0543095708695
"10X","124","124_2_931",-0.0230917708292209,-0.0390026812340061,0.0508134603653683,0.262250362227223,"NPC",0.276719263442457,0.285342133056444
"10X","124","124_2_932",0.641137209925951,-0.313266944384869,-0.114884586521194,0.722696645547481,"NPC",0.877808027098543,0.0815594356215297
"10X","124","124_2_933",0.438727222670992,-0.5306833222871,-0.242200084071771,-0.200815184322084,"MES",0.97776388799724,-0.639542406993076
"10X","124","124_2_934",1.20245278236421,0.714352606086481,0.196189438399174,-0.0302061574220296,"MES",0.573471649399202,-1.00626334396504
"10X","124","124_2_935",-0.161654150056985,0.0486138368974823,0.524365134821723,1.01276699525677,"NPC",0.573764098881035,0.964153158359284
"10X","124","124_2_936",0.415754394205703,-0.402310814656076,-0.259943367171193,-0.34699624127475,"MES",0.862403945854551,-0.675697761376896
"10X","124","124_2_937",0.584292910767424,-0.373876838000667,-0.254758102368971,0.796534304185818,"NPC",1.03653315901329,0.212241393418394
"10X","124","124_2_938",-0.234167615159131,-0.623012330175521,-0.128912849866491,1.55702961772375,"NPC",1.42542840282523,1.79119723288288
"10X","124","124_2_939",1.37661832304117,0.265607385420652,-0.0632321280395939,-0.0153938326515806,"MES",1.0779340536306,-1.39201215569275
"10X","124","124_2_940",0.0202782306747122,0.334042537231836,0.762984250726952,0.817558314190167,"NPC",0.0766604201566357,0.483515776958331
"10X","124","124_2_941",0.303815207339568,0.0404399327144493,-0.0199730892870996,0.20065434183137,"MES",0.33728324278546,-0.103160865508198
"10X","124","124_2_943",0.162701631595105,-0.470900949723227,-0.185715409128299,1.56200077951101,"NPC",1.45823299600897,1.39929914791591
"10X","124","124_2_944",0.294921366813087,-0.503356105480125,-0.36697844790756,-0.323100240083138,"MES",0.846615644331933,-0.618021606896225
"10X","124","124_2_945",-0.203143743267353,-0.35803082185034,-0.176752028255546,1.59546244176238,"NPC",1.47103887466927,1.79860618502974
"10X","124","124_2_946",0.801978485331584,-0.544631381020844,-0.252817664137056,-0.325816104245358,"MES",1.23057800774791,-1.05479614946864
"10X","124","124_2_947",0.0494578261027677,0.27393340423983,0.683634386617262,0.811273390221676,"NPC",0.173305284877566,0.537339985981846
"10X","124","124_2_948",0.330630703860103,-0.386063780314644,-0.31575520215121,-0.292352598460049,"MES",0.779633309354778,-0.622983302320151
"10X","124","124_2_949",0.529442352158586,0.92562003463428,0.218369044200262,-0.0366273891384822,"AC",-0.481482555669612,-0.707250990434019
"10X","124","124_2_950",1.06566452542929,-0.208905167808989,-0.190817476762334,-0.20949334888336,"MES",1.18559363975107,-1.25648200219162
"10X","124","124_2_951",0.977466603693741,-0.524971513421465,-0.261138455939018,-0.180146344970731,"MES",1.32333439304333,-1.15761294866447
"10X","124","124_2_952",0.200594972937255,-0.13180849247184,-0.181630041364958,1.12070553974842,"NPC",1.2030981314384,0.920110566811165
"10X","124","124_2_953",1.02843843255823,-0.366897051030187,-0.168179504595629,-0.339701775255771,"MES",1.2602277297042,-1.19661793715385
"10X","124","124_2_954",-0.293413136017558,-0.192745885552831,0.330186410260555,0.0840522534970773,"OPC",-0.317459394909671,0.522932295813386
"10X","124","124_2_955",0.21819632282197,-0.243974246464151,0.0584044238330256,1.03438520838363,"NPC",0.982568917485172,0.816188885561663
"10X","124","124_2_956",0.414461667895298,-0.46569632436953,-0.350361677200015,-0.357255646014766,"MES",0.910853898647523,-0.764823345095313
"10X","124","124_2_957",0.724946666760729,-0.395256578370999,-0.374799158506973,-0.179102077935446,"MES",1.08420256983043,-0.904048744696175
"10X","124","124_2_958",-0.0121603262931952,-0.324991052894966,-0.196270415003058,1.69265301191036,"NPC",1.530531964693,1.70481333820355
"10X","124","124_2_959",0.435551826800681,-0.411177498742278,-0.22494051440615,-0.376580005175551,"MES",0.884972426518919,-0.660492341206831
"10X","124","124_2_960",-0.251741480342269,-0.54373216689691,-0.28847136846469,1.49799993457033,"NPC",1.47843929564381,1.7497414149126
"10X","124","124_2_961",-0.294041554408854,-0.422390053716922,-0.0315065757147835,0.699993420251941,"NPC",0.792022384174595,0.994034974660795
"10X","124","124_2_962",0.0898946449999887,-0.323173614524756,-0.218393981048577,-0.418260053039113,"MES",0.49883115802803,-0.308288626048566
"10X","124","124_2_963",-0.0455612051813181,-0.554663512342806,-0.204444989800291,1.22064426656185,"NPC",1.27803784723432,1.26620547174316
"10X","124","124_2_964",0.750857069179163,-0.312480249191392,-0.28668217671843,-0.227851916837113,"MES",1.04497969507762,-0.978708986016276
"10X","124","124_2_965",0.443893990768048,-0.449406163705297,-0.281125528212942,-0.278294237118403,"MES",0.920903146933352,-0.722188227886451
"10X","124","124_2_966",0.616784089514436,-0.394809220792281,-0.255973066845752,-0.0743251223250694,"MES",1.00833866075474,-0.691109211839506
"10X","124","124_2_967",1.54740006460809,-0.318928123882134,-0.193864649050009,0.0824598991083346,"MES",1.51920380457574,-1.46494016549976
"10X","124","124_2_968",0.560351857823609,-0.210794952828785,-0.354971313960621,-0.227595578528514,"MES",0.824683802277136,-0.787947436352123
"10X","124","124_2_970",1.03721541235394,0.383713540115185,0.0492866292681005,-0.0224153657852773,"MES",0.725524679074859,-0.987928783085836
"10X","124","124_2_971",0.0747996901428079,-0.686737171119666,-0.259856144425464,1.38655549478915,"NPC",1.40403748477005,1.31175580464634
"10X","124","124_2_972",-0.0162571448749126,-0.564136651423686,-0.123093831635532,1.31192871088889,"NPC",1.28393512829844,1.32818585576381
"10X","124","124_2_974",0.716544076267692,-0.304357635805017,-0.334062601332775,0.0418780134408057,"MES",1.01499915697075,-0.674666062826887
"10X","124","124_2_975",0.0188388423163827,-0.362761310990074,-0.0974904646131693,1.37675945680232,"NPC",1.30699123280265,1.35792061448594
"10X","124","124_2_976",0.78054704750568,-0.520522601407661,-0.265855022657533,-0.222685829382615,"MES",1.2023046518024,-1.00323287688829
"10X","124","124_2_977",0.4247715218916,-0.60688054779222,-0.36312682557131,-0.235507630389431,"MES",1.02265335470821,-0.660279152281031
"10X","124","124_2_978",-0.257126723421987,-0.525294517876799,-0.188281847987793,1.5170751955041,"NPC",1.4358190084265,1.77420191892609
