"cluster","rank","gene","score","pval","pval_adj","logfc"
"5",11,"PRF1",5.11898772267667,4.87017745953728e-204,6.67896136800942e-200,5.11898772267667
"5",12,"IGFBP7",5.1070643343304,1.05987559930034e-100,1.45351339688049e-96,5.1070643343304
"5",13,"TTC38",5.01017108243409,1.91761992576562e-133,2.62982396619497e-129,5.01017108243409
"5",14,"KLRD1",4.84023428632536,2.39272242716368e-158,3.28137953661227e-154,4.84023428632536
"5",15,"CCL4",4.79793163918838,2.28005000297047e-133,3.1268605740737e-129,4.79793163918838
"5",16,"PRSS23",4.72648939669927,8.48528188637232e-109,1.1636715578971e-104,4.72648939669927
"5",17,"HAVCR2",4.68699733197964,9.05950811398387e-63,1.24242094275175e-58,4.68699733197964
"5",18,"C1orf21",4.46106931501437,2.68645683512436e-83,3.68420690368955e-79,4.46106931501437
"5",19,"GPR56",4.40709333858694,1.19788084194618e-84,1.64277378664499e-80,4.40709333858694
"5",20,"PTGDR",4.32404221259796,1.72601999058325e-58,2.36706381508587e-54,4.32404221259796
"5",21,"IL2RB",4.2483140881752,1.33155146247534e-110,1.82608967563869e-106,4.2483140881752
"5",22,"NKG7",4.15145822378212,2.67637469650759e-140,3.67038025879051e-136,4.15145822378212
"5",23,"S1PR5",4.01027639525026,6.58604139843011e-86,9.03209717380705e-82,4.01027639525026
"5",24,"CST7",3.79031571803857,4.12208788192673e-155,5.65303132127432e-151,3.79031571803857
"5",25,"PLEKHF1",3.77503535521547,2.56042961984019e-68,3.51137318064884e-64,3.77503535521547
"5",26,"GZMA",3.68730449188401,1.43611816431741e-152,1.9694924505449e-148,3.68730449188401
