index,palantir_pseudotime,palantir_entropy,cluster,fate_Ery,fate_Lymph,fate_DC,fate_Mono
Run4_121812477504803,0.4456661400415481,1.229759022718041,4,0.2235048852966659,0.07174861045460734,0.2515638886647957,0.4531826155839387
Run4_121812477659372,0.4199745887425444,1.2312093884539415,1,0.22503727596979775,0.072239593156036,0.25066710198032155,0.4520560288938521
Run4_121812478016931,0.601693875031629,0.812904066022466,2,0.7438380162297847,0.032827130388594486,0.08022062370382378,0.14311422967781873
Run4_121812496309539,0.6258287511200359,0.9778754282412437,7,0.08786092177311336,0.02973749506500217,0.6050996007185494,0.27730198244333343
Run4_121812496627629,0.43177712439562305,1.2285324556159323,4,0.22265767247858181,0.07140614702540608,0.2515765504042109,0.4543596300918091
Run4_121826140407589,0.13264906301228013,1.310592356309409,1,0.3021234061419256,0.11919963200939213,0.20969494710718375,0.3689820147415099
Run4_121826154859894,0.026213213563054234,1.314094419417365,0,0.3014318802440351,0.12294169210447976,0.20877311714306424,0.3668533105084314
Run4_121826167679902,0.585600546769322,0.9532349900390733,3,0.10666627702848153,0.035026382488190066,0.19999938160917358,0.6583079588741597
Run4_121826168138163,0.21670538119934887,1.2914412235735135,1,0.28558697882194933,0.10201945323911332,0.22084086903544797,0.39155269890350075
Run4_121826168195803,0.806084984270707,0.1830592665352327,3,0.010724623150530905,0.0,0.020669573162758026,0.9650753555815754
Run4_121826187070251,0.2454973972239124,1.2860088937122849,1,0.28003872286827963,0.09810426845691823,0.22396252211719028,0.39789448655762255
Run4_121879156964651,0.02627415570251131,1.3140980310617936,0,0.30142931686706725,0.12294561880574187,0.20877280198265113,0.3668522623445504
Run4_121896068106075,0.5580681700959331,0.9512802020291313,3,0.10625503757800951,0.03489647206149095,0.19930952414505274,0.6595389662154523
Run4_121896068373812,0.4630790793078491,1.226106564746442,4,0.2156907040351006,0.0695103659480887,0.2624415419891684,0.45235738802764913
Run4_121896095574750,0.7174038189434149,0.5473495616939703,6,0.04473403894504696,0.014726006859117069,0.08640271017135984,0.8541372440244803
Run4_121896095603508,0.45522317167617504,1.2266902726468265,4,0.22094993245405087,0.07086859832100577,0.25222417516424117,0.4559572940607102
Run4_121896114436398,0.6358258320273885,0.877955170980012,7,0.0718123496817739,0.024466800570140064,0.6792787822934345,0.2244420674546488
