"cell","samples","orig.ident","lineage","ExclusionScore"
"cy58_1_CD45_pos_H05_S665_comb","Mel58","cy58","NK",-0.209374690874282
"cy94_cd45pos_4_D06_S42_comb","Mel94","cy94","B_cell",-0.245814337437516
"Cy74_CD45_H08_S476_comb","Mel74","Cy74","Myeloid",-0.0894601872033704
"CY94CD45POS_1_B02_S110_comb","Mel94","CY94CD45POS","Myeloid",-0.312275175896476
"cy60_1_cd_45_pos_HC_pos_HLDAR_pos_A05_S965_comb","Mel60","cy60","B_cell",-0.173267420432793
"cy94_cd45pos_4_G08_S80_comb","Mel94","cy94","B_cell",-0.270464894580306
"cy84_Primary_CD45_pos_E01_S433_comb","Mel84","cy84","Myeloid",-0.264729320290488
"cy80_Cd45_pos_Pd1_neg_S204_A12_S204_comb","Mel80","cy80","B_cell",-0.211425165057967
"cy58_1_CD45_pos_B10_S598_comb","Mel58","cy58","Myeloid",-0.295632614554735
"CY89A_Core_15_E05_S53_comb","Mel89","CY89A","T_cell",-0.239834327179871
"cy94_cd45pos_D04_S136_comb","Mel94","cy94","B_cell",-0.341786600612858
"CY94CD45POS_1_B06_S114_comb","Mel94","CY94CD45POS","B_cell",-0.205876344146722
"Cy74_CD45_C03_S411_comb","Mel74","Cy74","B_cell",-0.197643851500178
"Cy71_CD45_A04_S484_comb","Mel71","Cy71","Malignant",0.467753185957771
"cy80_Cd45_pos_Pd1_neg_S197_A05_S197_comb","Mel80","cy80","B_cell",-0.193002379280644
"cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_E07_S535_comb","Mel79","cy79","B_cell",-0.267522675784421
"cy74_CD45_pos_G12_S756_comb","Mel74","cy74","B_cell",-0.254958086451042
"CY88CD45_150813_F03_S351_comb","Mel88","CY88CD45","Malignant",-0.0578346626830695
"cy60_1_cd_45_pos_HC_pos_HLDAR_pos_C12_S996_comb","Mel60","cy60","B_cell",-0.152223858412244
"CY89A_CD45_POS_6_G06_S174_comb","Mel89","CY89A","B_cell",-0.260222735351464
"cy80_CD45_neg_C08_S416_comb","Mel80","cy80","B_cell",-0.287484552720977
"cy94_cd45neg_cd90pos_H11_S383_comb","Mel94","cy94","Myeloid",-0.141072092782207
"CY89A_Core_15_C12_S36_comb","Mel89","CY89A","B_cell",-0.227914179571155
"cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_H04_S568_comb","Mel79","cy79","B_cell",-0.274968100596856
"cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_B11_S311_comb","Mel79","cy79","Malignant",0.729508655665232
"cy60_1_cd_45_pos_4_E06_S54_comb","Mel60","cy60","B_cell",-0.220795681452149
"cy60_1_cd_45_pos_4_A10_S10_comb","Mel60","cy60","B_cell",-0.263389288747195
"CY94CD45POS_1_H05_S185_comb","Mel94","CY94CD45POS","B_cell",-0.215433526458427
"cy79_p5_CD45_pos_PD1_pos_D09_S621_comb","Mel79","cy79","B_cell",-0.288503661246848
"cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_B03_S495_comb","Mel79","cy79","B_cell",-0.268557310544519
"cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_E04_S532_comb","Mel79","cy79","B_cell",-0.282709933060518
"CY94CD45POS_1_E02_S146_comb","Mel94","CY94CD45POS","B_cell",-0.290609005715628
"cy80_Cd45_pos_Pd1_neg_S203_A11_S203_comb","Mel80","cy80","B_cell",-0.248240916251183
"cy94_cd45pos_4_D07_S43_comb","Mel94","cy94","B_cell",-0.228846402981748
"cy94_cd45pos_C04_S124_comb","Mel94","cy94","B_cell",-0.306735899004511
"Cy81_Bulk_CD45_D05_S137_comb","Mel81","Cy81","CAF",0.0207645398795888
"cy53_1_CD45_neg_C04_S316_comb","Mel53","cy53","Endothelial",-0.19235327301609
"CY94CD45POS_1_C01_S121_comb","Mel94","CY94CD45POS","B_cell",-0.275265739185354
"cy79_p3_CD45_pos_PD1_neg_C11_S131_comb","Mel79","cy79","B_cell",-0.173755136214587
"cy74_CD45_pos_D12_S720_comb","Mel74","cy74","Endothelial",-0.208511308091733
"cy80_Cd45_pos_Pd1_neg_S276_D12_S276_comb","Mel80","cy80","B_cell",-0.241522302354802
"cy80_CD45_pos_PD1_pos_E09_S153_comb","Mel80","cy80","B_cell",-0.310650625529694
"Cy72_CD45_A05_S677_comb","Mel72","Cy72","B_cell",-0.21725682628779
"cy80_CD45_neg_D07_S427_comb","Mel80","cy80","B_cell",-0.207289728090549
"CY88_5_F12_S744_comb","Mel88","CY88","Malignant",0.588135871475971
"cy60_1_cd_45_pos_3_G02_S362_comb","Mel60","cy60","B_cell",-0.218991014138737
"CY89A_CD45_POS_6_F06_S162_comb","Mel89","CY89A","Myeloid",-0.128072049341096
"cy94_cd45pos_4_E10_S58_comb","Mel94","cy94","B_cell",-0.2093455286671
"cy80_CD45_neg_B05_S401_comb","Mel80","cy80","B_cell",-0.29714603312657
"CY89A_CD45_POS_10_B11_S215_comb","Mel89","CY89A","B_cell",-0.055856013770907
"cy79_p4_CD45_neg_PDL1_neg_G01_S1129_comb","Mel79","cy79","Malignant",0.873535474680553
"CY88CD45POS_2_F06_S450_comb","Mel88","CY88CD45POS","Myeloid",0.0648056450739267
"cy94_cd45pos_H04_S184_comb","Mel94","cy94","B_cell",-0.137242272830361
"CY89A_Core_15_H02_S86_comb","Mel89","CY89A","B_cell",-0.265755087385154
"cy80_Cd45_pos_Pd1_neg_S275_D11_S275_comb","Mel80","cy80","B_cell",-0.275434096285892
"cy94_cd45neg_cd90pos_G05_S365_comb","Mel94","cy94","CAF",-0.100766679852754
"Cy71_CD45_D04_S520_comb","Mel71","Cy71","CAF",0.133420620349567
"cy94_cd45neg_cd90pos_B04_S304_comb","Mel94","cy94","Endothelial",-0.210199942127641
"cy60_1_cd_45_pos_4_E07_S55_comb","Mel60","cy60","B_cell",-0.183536471769419
"cy53_1_CD45_pos_1_F04_S64_comb","Mel53","cy53","NK",-0.258384270978319
"CY89A_Core_15_A07_S7_comb","Mel89","CY89A","Myeloid",-0.191316805671354
